"USA_SUT_item","USA_SUT_code","FABIO_item","FABIO_item_code","FABIO_comm_code","ISIC","comments"
"Flour milling and malt manufacturing","311210","Rice and products",2807,"c001","C",
"Flour milling and malt manufacturing","311210","Barley and products",2513,"c003","C",
"Flour milling and malt manufacturing","311210","Maize and products",2514,"c004","C",
"Flour milling and malt manufacturing","311210","Rye and products",2515,"c005","C",
"Flour milling and malt manufacturing","311210","Oats",2516,"c006","C",
"Flour milling and malt manufacturing","311210","Millet and products",2517,"c007","C",
"Flour milling and malt manufacturing","311210","Sorghum and products",2518,"c008","C",
"Flour milling and malt manufacturing","311210","Cereals, Other",2520,"c009","C",
"Wet corn milling","311221","Maize and products",2514,"c004","C",
"Wet corn milling","311221","Maize Germ Oil",2582,"c079","C",
"Soybean and other oilseed processing","311224","Soyabean Cake",2590,"c081","C",
"Soybean and other oilseed processing","311224","Groundnut Cake",2591,"c082","C",
"Soybean and other oilseed processing","311224","Sunflowerseed Cake",2592,"c083","C",
"Soybean and other oilseed processing","311224","Rape and Mustard Cake",2593,"c084","C",
"Soybean and other oilseed processing","311224","Cottonseed Cake",2594,"c085","C",
"Soybean and other oilseed processing","311224","Palmkernel Cake",2595,"c086","C",
"Soybean and other oilseed processing","311224","Copra Cake",2596,"c087","C",
"Soybean and other oilseed processing","311224","Sesameseed Cake",2597,"c088","C",
"Soybean and other oilseed processing","311224","Oilseed Cakes, Other",2598,"c089","C",
"Soybean and other oilseed processing","311224","Soyabean Oil",2571,"c068","C",
"Soybean and other oilseed processing","311224","Groundnut Oil",2572,"c069","C",
"Soybean and other oilseed processing","311224","Sunflowerseed Oil",2573,"c070","C",
"Soybean and other oilseed processing","311224","Rape and Mustard Oil",2574,"c071","C",
"Soybean and other oilseed processing","311224","Cottonseed Oil",2575,"c072","C",
"Soybean and other oilseed processing","311224","Palmkernel Oil",2576,"c073","C",
"Soybean and other oilseed processing","311224","Palm Oil",2577,"c074","C",
"Soybean and other oilseed processing","311224","Coconut Oil",2578,"c075","C",
"Soybean and other oilseed processing","311224","Sesameseed Oil",2579,"c076","C",
"Soybean and other oilseed processing","311224","Olive Oil",2580,"c077","C",
"Soybean and other oilseed processing","311224","Ricebran Oil",2581,"c078","C",
"Soybean and other oilseed processing","311224","Maize Germ Oil",2582,"c079","C",
"Soybean and other oilseed processing","311224","Oilcrops Oil, Other",2586,"c080","C",
"Fats and oils refining and blending","311225","Soyabean Oil",2571,"c068","C",
"Fats and oils refining and blending","311225","Groundnut Oil",2572,"c069","C",
"Fats and oils refining and blending","311225","Sunflowerseed Oil",2573,"c070","C",
"Fats and oils refining and blending","311225","Rape and Mustard Oil",2574,"c071","C",
"Fats and oils refining and blending","311225","Cottonseed Oil",2575,"c072","C",
"Fats and oils refining and blending","311225","Palmkernel Oil",2576,"c073","C",
"Fats and oils refining and blending","311225","Palm Oil",2577,"c074","C",
"Fats and oils refining and blending","311225","Coconut Oil",2578,"c075","C",
"Fats and oils refining and blending","311225","Sesameseed Oil",2579,"c076","C",
"Fats and oils refining and blending","311225","Olive Oil",2580,"c077","C",
"Fats and oils refining and blending","311225","Ricebran Oil",2581,"c078","C",
"Fats and oils refining and blending","311225","Maize Germ Oil",2582,"c079","C",
"Fats and oils refining and blending","311225","Oilcrops Oil, Other",2586,"c080","C",
"Breakfast cereal manufacturing","311230","Wheat and products",2511,"c002","C",
"Breakfast cereal manufacturing","311230","Rice and products",2807,"c001","C",
"Breakfast cereal manufacturing","311230","Barley and products",2513,"c003","C",
"Breakfast cereal manufacturing","311230","Maize and products",2514,"c004","C",
"Breakfast cereal manufacturing","311230","Rye and products",2515,"c005","C",
"Breakfast cereal manufacturing","311230","Oats",2516,"c006","C",
"Breakfast cereal manufacturing","311230","Millet and products",2517,"c007","C",
"Breakfast cereal manufacturing","311230","Sorghum and products",2518,"c008","C",
"Breakfast cereal manufacturing","311230","Cereals, Other",2520,"c009","C",
"Sugar and confectionery product manufacturing","311300","Sugar non-centrifugal",2541,"c065","C",
"Sugar and confectionery product manufacturing","311300","Sugar (Raw Equivalent)",2542,"c066","C",
"Sugar and confectionery product manufacturing","311300","Sweeteners, Other",2543,"c067","C",
"Sugar and confectionery product manufacturing","311300","Cocoa Beans and products",2633,"c046","C",
"Frozen food manufacturing","311410","Potatoes and products",2531,"c010","C",
"Frozen food manufacturing","311410","Nuts and products",2551,"c020","C",
"Frozen food manufacturing","311410","Oranges, Mandarines",2611,"c034","C",
"Frozen food manufacturing","311410","Lemons, Limes and products",2612,"c035","C",
"Frozen food manufacturing","311410","Grapefruit and products",2613,"c036","C",
"Frozen food manufacturing","311410","Citrus, Other",2614,"c037","C",
"Frozen food manufacturing","311410","Apples and products",2617,"c040","C",
"Frozen food manufacturing","311410","Pineapples and products",2618,"c041","C",
"Frozen food manufacturing","311410","Grapes and products (excl wine)",2620,"c043","C",
"Frozen food manufacturing","311410","Fruits, Other",2625,"c044","C",
"Frozen food manufacturing","311410","Cassava and products",2532,"c011","C",
"Frozen food manufacturing","311410","Yams",2535,"c014","C",
"Frozen food manufacturing","311410","Pulses, Other and products",2549,"c019","C",
"Frozen food manufacturing","311410","Coconuts - Incl Copra",2560,"c026","C",
"Frozen food manufacturing","311410","Sweet potatoes",2533,"c012","C",
"Frozen food manufacturing","311410","Roots, Other",2534,"c013","C",
"Frozen food manufacturing","311410","Tomatoes and products",2601,"c031","C",
"Frozen food manufacturing","311410","Onions",2602,"c032","C",
"Frozen food manufacturing","311410","Vegetables, Other",2605,"c033","C",
"Fruit and vegetable canning, pickling, and drying","311420","Potatoes and products",2531,"c010","C",
"Fruit and vegetable canning, pickling, and drying","311420","Nuts and products",2551,"c020","C",
"Fruit and vegetable canning, pickling, and drying","311420","Oranges, Mandarines",2611,"c034","C",
"Fruit and vegetable canning, pickling, and drying","311420","Lemons, Limes and products",2612,"c035","C",
"Fruit and vegetable canning, pickling, and drying","311420","Grapefruit and products",2613,"c036","C",
"Fruit and vegetable canning, pickling, and drying","311420","Citrus, Other",2614,"c037","C",
"Fruit and vegetable canning, pickling, and drying","311420","Apples and products",2617,"c040","C",
"Fruit and vegetable canning, pickling, and drying","311420","Pineapples and products",2618,"c041","C",
"Fruit and vegetable canning, pickling, and drying","311420","Grapes and products (excl wine)",2620,"c043","C",
"Fruit and vegetable canning, pickling, and drying","311420","Fruits, Other",2625,"c044","C",
"Fruit and vegetable canning, pickling, and drying","311420","Cassava and products",2532,"c011","C",
"Fruit and vegetable canning, pickling, and drying","311420","Yams",2535,"c014","C",
"Fruit and vegetable canning, pickling, and drying","311420","Pulses, Other and products",2549,"c019","C",
"Fruit and vegetable canning, pickling, and drying","311420","Coconuts - Incl Copra",2560,"c026","C",
"Fruit and vegetable canning, pickling, and drying","311420","Sweet potatoes",2533,"c012","C",
"Fruit and vegetable canning, pickling, and drying","311420","Roots, Other",2534,"c013","C",
"Fruit and vegetable canning, pickling, and drying","311420","Tomatoes and products",2601,"c031","C",
"Fruit and vegetable canning, pickling, and drying","311420","Onions",2602,"c032","C",
"Fruit and vegetable canning, pickling, and drying","311420","Vegetables, Other",2605,"c033","C",
"Cheese manufacturing","311513","Milk - Excluding Butter",2848,"c109","C",
"Dry, condensed, and evaporated dairy product manufacturing","311514","Milk - Excluding Butter",2848,"c109","C",
"Fluid milk and butter manufacturing","31151A","Butter, Ghee",2740,"c110","C",
"Fluid milk and butter manufacturing","31151A","Milk - Excluding Butter",2848,"c109","C",
"Ice cream and frozen dessert manufacturing","311520","Milk - Excluding Butter",2848,"c109","C",
"Poultry processing","311615","Poultry Meat",2734,"c116","C",
"Animal (except poultry) slaughtering, rendering, and processing","31161A","Bovine Meat",2731,"c113","C",
"Animal (except poultry) slaughtering, rendering, and processing","31161A","Pigmeat",2733,"c115","C",
"Animal (except poultry) slaughtering, rendering, and processing","31161A","Mutton & Goat Meat",2732,"c114","C",
"Animal (except poultry) slaughtering, rendering, and processing","31161A","Meat, Other",2735,"c117","C",
"Animal (except poultry) slaughtering, rendering, and processing","31161A","Offals, Edible",2736,"c118","C",
"Animal (except poultry) slaughtering, rendering, and processing","31161A","Fats, Animals, Raw",2737,"c119","C",
"Animal (except poultry) slaughtering, rendering, and processing","31161A","Hides and skins",2748,"c120","C",
"Seafood product preparation and packaging","311700","Fish, Seafood",2960,"c123","C",
"Bread and bakery product manufacturing","311810",,,,,
"Cookie, cracker, pasta, and tortilla manufacturing","3118A0",,,,,
"Snack food manufacturing","311910",,,,,
"Coffee and tea manufacturing","311920","Coffee and products",2630,"c045","C",
"Coffee and tea manufacturing","311920","Tea (including mate)",2635,"c047","C",
"Flavoring syrup and concentrate manufacturing","311930","Spices, Other",2645,"c052","C",
"Seasoning and dressing manufacturing","311940","Spices, Other",2645,"c052","C",
"All other food manufacturing","311990","Wheat and products",2511,"c002","C","processed products n.e.c."
"All other food manufacturing","311990","Rice and products",2807,"c001","C","processed products n.e.c."
"All other food manufacturing","311990","Barley and products",2513,"c003","C","processed products n.e.c."
"All other food manufacturing","311990","Maize and products",2514,"c004","C","processed products n.e.c."
"All other food manufacturing","311990","Rye and products",2515,"c005","C","processed products n.e.c."
"All other food manufacturing","311990","Oats",2516,"c006","C","processed products n.e.c."
"All other food manufacturing","311990","Millet and products",2517,"c007","C","processed products n.e.c."
"All other food manufacturing","311990","Sorghum and products",2518,"c008","C","processed products n.e.c."
"All other food manufacturing","311990","Cereals, Other",2520,"c009","C","processed products n.e.c."
"All other food manufacturing","311990","Pulses, Other and products",2549,"c019","C","processed products n.e.c."
"Soft drink and ice manufacturing","312110",,,,,
"Breweries","312120","Beer",2656,"c091","C",
"Wineries","312130","Wine",2655,"c090","C",
"Wineries","312130","Beverages, Fermented",2657,"c092","C",
"Distilleries","312140","Beverages, Alcoholic",2658,"c093","C",
"Tobacco manufacturing","312200","Tobacco",2671,"c059","C",
"Fiber, yarn, and thread mills","313100","Soft-Fibres, Other",2664,"c055","C",
"Fiber, yarn, and thread mills","313100","Wool (Clean Eq.)",2746,"c112","C",
"Fiber, yarn, and thread mills","313100","Silk",2747,"c122","C",
"Fabric mills","313200",,,,,
"Textile and fabric finishing and fabric coating mills","313300",,,,,
"Other nonmetallic mineral mining and quarrying","2123A0",,,,,
"Drilling oil and gas wells","213111",,,,,
"Other support activities for mining","21311A",,,,,
"Electric power generation, transmission, and distribution","221100",,,,,
"Natural gas distribution","221200",,,,,
"Water, sewage and other systems","221300",,,,,
"Health care structures","233210",,,,,
"Educational and vocational structures","233262",,,,,
"Nonresidential maintenance and repair","230301",,,,,
"Residential maintenance and repair","230302",,,,,
"Office and commercial structures","2332A0",,,,,
"Multifamily residential structures","233412",,,,,
"Other residential structures","2334A0",,,,,
"Manufacturing structures","233230",,,,,
"Other nonresidential structures","2332D0",,,,,
"Power and communication structures","233240",,,,,
"Single-family residential structures","233411",,,,,
"Transportation structures and highways and streets","2332C0",,,,,
"Sawmills and wood preservation","321100",,,,,
"Veneer, plywood, and engineered wood product manufacturing","321200",,,,,
"Millwork","321910",,,,,
"All other wood product manufacturing","3219A0",,,,,
"Clay product and refractory manufacturing","327100",,,,,
"Glass and glass product manufacturing","327200",,,,,
"Cement manufacturing","327310",,,,,
"Ready-mix concrete manufacturing","327320",,,,,
"Concrete pipe, brick, and block manufacturing","327330",,,,,
"Other concrete product manufacturing","327390",,,,,
"Lime and gypsum product manufacturing","327400",,,,,
"Abrasive product manufacturing","327910",,,,,
"Cut stone and stone product manufacturing","327991",,,,,
"Ground or treated mineral and earth manufacturing","327992",,,,,
"Mineral wool manufacturing","327993",,,,,
"Miscellaneous nonmetallic mineral products","327999",,,,,
"Iron and steel mills and ferroalloy manufacturing","331110",,,,,
"Steel product manufacturing from purchased steel","331200",,,,,
"Alumina refining and primary aluminum production","331313",,,,,
"Aluminum product manufacturing from purchased aluminum","33131B",,,,,
"Nonferrous metal (except aluminum) smelting and refining","331410",,,,,
"Copper rolling, drawing, extruding and alloying","331420",,,,,
"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying","331490",,,,,
"Ferrous metal foundries","331510",,,,,
"Nonferrous metal foundries","331520",,,,,
"Custom roll forming","332114",,,,,
"All other forging, stamping, and sintering","33211A",,,,,
"Metal crown, closure, and other metal stamping (except automotive)","332119",,,,,
"Cutlery and handtool manufacturing","332200",,,,,
"Plate work and fabricated structural product manufacturing","332310",,,,,
"Ornamental and architectural metal products manufacturing","332320",,,,,
"Power boiler and heat exchanger manufacturing","332410",,,,,
"Metal tank (heavy gauge) manufacturing","332420",,,,,
"Metal can, box, and other metal container (light gauge) manufacturing","332430",,,,,
"Hardware manufacturing","332500",,,,,
"Spring and wire product manufacturing","332600",,,,,
"Machine shops","332710",,,,,
"Turned product and screw, nut, and bolt manufacturing","332720",,,,,
"Coating, engraving, heat treating and allied activities","332800",,,,,
"Plumbing fixture fitting and trim manufacturing","332913",,,,,
"Valve and fittings other than plumbing","33291A",,,,,
"Ball and roller bearing manufacturing","332991",,,,,
"Fabricated pipe and pipe fitting manufacturing","332996",,,,,
"Ammunition, arms, ordnance, and accessories manufacturing","33299A",,,,,
"Other fabricated metal manufacturing","332999",,,,,
"Farm machinery and equipment manufacturing","333111",,,,,
"Lawn and garden equipment manufacturing","333112",,,,,
"Construction machinery manufacturing","333120",,,,,
"Mining and oil and gas field machinery manufacturing","333130",,,,,
"Semiconductor machinery manufacturing","333242",,,,,
"Other industrial machinery manufacturing","33329A",,,,,
"Optical instrument and lens manufacturing","333314",,,,,
"Photographic and photocopying equipment manufacturing","333316",,,,,
"Other commercial and service industry machinery manufacturing","333318",,,,,
"Heating equipment (except warm air furnaces) manufacturing","333414",,,,,
"Air conditioning, refrigeration, and warm air heating equipment manufacturing","333415",,,,,
"Industrial and commercial fan and blower and air purification equipment manufacturing","333413",,,,,
"Industrial mold manufacturing","333511",,,,,
"Special tool, die, jig, and fixture manufacturing","333514",,,,,
"Machine tool manufacturing","333517",,,,,
"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing","33351B",,,,,
"Turbine and turbine generator set units manufacturing","333611",,,,,
"Speed changer, industrial high-speed drive, and gear manufacturing","333612",,,,,
"Mechanical power transmission equipment manufacturing","333613",,,,,
"Other engine equipment manufacturing","333618",,,,,
"Air and gas compressor manufacturing","333912",,,,,
"Measuring, dispensing, and other pumping equipment manufacturing","333914",,,,,
"Material handling equipment manufacturing","333920",,,,,
"Power-driven handtool manufacturing","333991",,,,,
"Packaging machinery manufacturing","333993",,,,,
"Industrial process furnace and oven manufacturing","333994",,,,,
"Other general purpose machinery manufacturing","33399A",,,,,
"Fluid power process machinery","33399B",,,,,
"Electronic computer manufacturing","334111",,,,,
"Computer storage device manufacturing","334112",,,,,
"Computer terminals and other computer peripheral equipment manufacturing","334118",,,,,
"Telephone apparatus manufacturing","334210",,,,,
"Broadcast and wireless communications equipment","334220",,,,,
"Other communications equipment manufacturing","334290",,,,,
"Semiconductor and related device manufacturing","334413",,,,,
"Printed circuit assembly (electronic assembly) manufacturing","334418",,,,,
"Other electronic component manufacturing","33441A",,,,,
"Electromedical and electrotherapeutic apparatus manufacturing","334510",,,,,
"Search, detection, and navigation instruments manufacturing","334511",,,,,
"Automatic environmental control manufacturing","334512",,,,,
"Industrial process variable instruments manufacturing","334513",,,,,
"Totalizing fluid meter and counting device manufacturing","334514",,,,,
"Electricity and signal testing instruments manufacturing","334515",,,,,
"Analytical laboratory instrument manufacturing","334516",,,,,
"Irradiation apparatus manufacturing","334517",,,,,
"Watch, clock, and other measuring and controlling device manufacturing","33451A",,,,,
"Audio and video equipment manufacturing","334300",,,,,
"Manufacturing and reproducing magnetic and optical media","334610",,,,,
"Electric lamp bulb and part manufacturing","335110",,,,,
"Lighting fixture manufacturing","335120",,,,,
"Small electrical appliance manufacturing","335210",,,,,
"Major household appliance manufacturing","335220",,,,,
"Power, distribution, and specialty transformer manufacturing","335311",,,,,
"Motor and generator manufacturing","335312",,,,,
"Switchgear and switchboard apparatus manufacturing","335313",,,,,
"Relay and industrial control manufacturing","335314",,,,,
"Storage battery manufacturing","335911",,,,,
"Primary battery manufacturing","335912",,,,,
"Communication and energy wire and cable manufacturing","335920",,,,,
"Wiring device manufacturing","335930",,,,,
"Carbon and graphite product manufacturing","335991",,,,,
"All other miscellaneous electrical equipment and component manufacturing","335999",,,,,
"Automobile manufacturing","336111",,,,,
"Light truck and utility vehicle manufacturing","336112",,,,,
"Heavy duty truck manufacturing","336120",,,,,
"Motor vehicle body manufacturing","336211",,,,,
"Truck trailer manufacturing","336212",,,,,
"Motor home manufacturing","336213",,,,,
"Travel trailer and camper manufacturing","336214",,,,,
"Motor vehicle gasoline engine and engine parts manufacturing","336310",,,,,
"Motor vehicle electrical and electronic equipment manufacturing","336320",,,,,
"Motor vehicle transmission and power train parts manufacturing","336350",,,,,
"Motor vehicle seating and interior trim manufacturing","336360",,,,,
"Motor vehicle metal stamping","336370",,,,,
"Other motor vehicle parts manufacturing","336390",,,,,
"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing","3363A0",,,,,
"Aircraft manufacturing","336411",,,,,
"Aircraft engine and engine parts manufacturing","336412",,,,,
"Other aircraft parts and auxiliary equipment manufacturing","336413",,,,,
"Guided missile and space vehicle manufacturing","336414",,,,,
"Propulsion units and parts for space vehicles and guided missiles","33641A",,,,,
"Railroad rolling stock manufacturing","336500",,,,,
"Ship building and repairing","336611",,,,,
"Boat building","336612",,,,,
"Motorcycle, bicycle, and parts manufacturing","336991",,,,,
"Military armored vehicle, tank, and tank component manufacturing","336992",,,,,
"All other transportation equipment manufacturing","336999",,,,,
"Wood kitchen cabinet and countertop manufacturing","337110",,,,,
"Upholstered household furniture manufacturing","337121",,,,,
"Nonupholstered wood household furniture manufacturing","337122",,,,,
"Institutional furniture manufacturing","337127",,,,,
"Other household nonupholstered furniture","33712N",,,,,
"Showcase, partition, shelving, and locker manufacturing","337215",,,,,
"Office furniture and custom architectural woodwork and millwork manufacturing","33721A",,,,,
"Other furniture related product manufacturing","337900",,,,,
"Surgical and medical instrument manufacturing","339112",,,,,
"Surgical appliance and supplies manufacturing","339113",,,,,
"Dental equipment and supplies manufacturing","339114",,,,,
"Ophthalmic goods manufacturing","339115",,,,,
"Dental laboratories","339116",,,,,
"Jewelry and silverware manufacturing","339910",,,,,
"Sporting and athletic goods manufacturing","339920",,,,,
"Doll, toy, and game manufacturing","339930",,,,,
"Office supplies (except paper) manufacturing","339940",,,,,
"Sign manufacturing","339950",,,,,
"All other miscellaneous manufacturing","339990",,,,,
"Carpet and rug mills","314110",,,,,
"Curtain and linen mills","314120",,,,,
"Other textile product mills","314900",,,,,
"Apparel manufacturing","315000",,,,,
"Leather and allied product manufacturing","316000",,,,,
"Pulp mills","322110",,,,,
"Paper mills","322120",,,,,
"Paperboard mills","322130",,,,,
"Paperboard container manufacturing","322210",,,,,
"Paper bag and coated and treated paper manufacturing","322220",,,,,
"Stationery product manufacturing","322230",,,,,
"Sanitary paper product manufacturing","322291",,,,,
"All other converted paper product manufacturing","322299",,,,,
"Printing","323110",,,,,
"Support activities for printing","323120",,,,,
"Petroleum refineries","324110",,,,,
"Asphalt paving mixture and block manufacturing","324121",,,,,
"Asphalt shingle and coating materials manufacturing","324122",,,,,
"Other petroleum and coal products manufacturing","324190",,,,,
"Petrochemical manufacturing","325110",,,,,
"Industrial gas manufacturing","325120",,,,,
"Synthetic dye and pigment manufacturing","325130",,,,,
"Other basic inorganic chemical manufacturing","325180",,,,,
"Other basic organic chemical manufacturing","325190",,,,,
"Plastics material and resin manufacturing","325211",,,,,
"Synthetic rubber and artificial and synthetic fibers and filaments manufacturing","3252A0",,,,,
"Medicinal and botanical manufacturing","325411",,,,,
"Pharmaceutical preparation manufacturing","325412",,,,,
"In-vitro diagnostic substance manufacturing","325413",,,,,
"Biological product (except diagnostic) manufacturing","325414",,,,,
"Fertilizer manufacturing","325310",,,,,
"Pesticide and other agricultural chemical manufacturing","325320",,,,,
"Paint and coating manufacturing","325510",,,,,
"Adhesive manufacturing","325520",,,,,
"Soap and cleaning compound manufacturing","325610",,,,,
"Toilet preparation manufacturing","325620",,,,,
"Printing ink manufacturing","325910",,,,,
"All other chemical product and preparation manufacturing","3259A0",,,,,
"Plastics packaging materials and unlaminated film and sheet manufacturing","326110",,,,,
"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing","326120",,,,,
"Laminated plastics plate, sheet (except packaging), and shape manufacturing","326130",,,,,
"Polystyrene foam product manufacturing","326140",,,,,
"Urethane and other foam product (except polystyrene) manufacturing","326150",,,,,
"Plastics bottle manufacturing","326160",,,,,
"Other plastics product manufacturing","326190",,,,,
"Tire manufacturing","326210",,,,,
"Rubber and plastics hoses and belting manufacturing","326220",,,,,
"Other rubber product manufacturing","326290",,,,,
"Motor vehicle and motor vehicle parts and supplies","423100",,,,,
"Professional and commercial equipment and supplies","423400",,,,,
"Household appliances and electrical and electronic goods","423600",,,,,
"Machinery, equipment, and supplies","423800",,,,,
"Other durable goods merchant wholesalers","423A00",,,,,
"Drugs and druggists’ sundries","424200",,,,,
"Grocery and related product wholesalers","424400",,,,,
"Petroleum and petroleum products","424700",,,,,
"Other nondurable goods merchant wholesalers","424A00",,,,,
"Wholesale electronic markets and agents and brokers","425000",,,,,
"Customs duties","4200ID",,,,,
"Motor vehicle and parts dealers","441000",,,,,
"Food and beverage stores","445000",,,,,
"General merchandise stores","452000",,,,,
"Building material and garden equipment and supplies dealers","444000",,,,,
